belongs_to_collection,budget,genres,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",99324,tt0034558,en,A sergeant (Richard Travis) saves the day when Axis agents plant a bomb on a bus bound for California oil fields.,0.142022,/7oBX8D00la2ADSJE9fbEvaFE7X7.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/18/42,0,58,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"BYE-BYE, SPY! HERE COME THE MARINES!...What action! Iron-fisted leatherneck mows down sabotage ring...on hurtling cross-country bus!",Busses Roar,8,1
,0,"[{'id': 18, 'name': 'Drama'}]",53865,tt0025346,en,A British officer stationed in Ireland falls for the wife of an intelligence man.,0.184905,/2xEeyGbP50zDs3AjS3AtO9R3ohS.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/9/34,0,71,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Key,0,0
,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",242643,tt3139086,en,"Based on the hit video game series, Batman must find a bomb planted by the Joker while dealing with a mysterious team of villains called, The Suicide Squad.",6.0955,/jY5DEgyMmHUh4AbWTu6pOb5g7vk.jpg,"[{'name': 'Warner Bros. Animation', 'id': 2785}, {'name': 'Warner Premiere', 'id': 4811}, {'name': 'DC Entertainment', 'id': 9993}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/12/14,4571025,75,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Get ready to root for the bad guys.,Batman: Assault on Arkham,7.3,298
,5500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",193722,tt2914838,ja,Ruthless dominatrixes pursue a mild-mannered salesman who wants to get out of his unbreakable contract with a secret bondage club.,3.401742,/l5zLRa45GuQ8UbkW8eughxdFVx9.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Yoshimoto Kogyo Company', 'id': 11629}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",10/5/13,0,100,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,M For Father,R100,5.4,31
,176000003,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",76757,tt1617661,en,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",21.463465,/aMEsvTUklw0uZ3gk3Q6lAj6302a.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Anarchos Productions', 'id': 450}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/4/15,183987723,124,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Expand your universe.,Jupiter Ascending,5.2,2816
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",252956,tt0034555,en,"Dr. Steven Bishop is taken to the hideout of Frank Dillon and his gang to treat the wounded Joe Madison.  Joe's nurse sister Nora Madison is also taken. Dillon tells Bishop Dr. Steven Bishop is taken to the hideout of Frank Dillon and his gang to treat the wounded Joe Madison. Joe's nurse sister that if Joe dies, he will be killed, but Bishop knows he will be either way. Joe dies, but Nora and Steve conceal it from Dillon and send a plea for help in a prescription that Bishop writes.",0.148613,/nkK010oZvuvEMRDLa9K9CgyIRFc.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/7/42,0,59,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Death To The Last Of Gangdom's KILLERS!,Bullet Scars,0,0
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",117969,tt0056082,en,"An innocent, pregnant prison inmate (Shirley Knight) becomes the bad warden's (Andrew Duggan) personal favorite.",0.001884,/rvoogMSRaqSS7mDnj3AYPH5Ydjk.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/11/62,0,85,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What The Streets Don't Teach This Jail Does!,House of Women,0,0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",118245,tt0021647,en,A plain-Jane stenographer blossoms when she accompanies her boss on a business trip to Paris.,0.075281,/qhT5h1Mz0XnH4UCHWxTtUgu9zCG.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/9/32,0,66,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Beauty and the Boss,7,1
,0,"[{'id': 37, 'name': 'Western'}]",72472,tt0044488,en,"Mine owner William Sharon (Larry Keating) keeps having his gold shipments held up by a gang of bandits. Sharon hires banker Charles Crocker (Thurston Hall), who happens to have connections in the Central Pacific Railroad, to build a spur line from Virginia City to Carson City, so that the gold can be shipped by railroad. Silent Jeff Kincaid (Randolph Scott) is the railroad engineer. However there is opposition to the railroad, chiefly from another mine owner, Big Jack Davis (Raymond Massey).",0.71879,/g9Dpe7I3JOCgkWn47tshUbM4mj0.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/13/52,0,87,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,He comes tearing in with a gun and a grin ... to carve a new notch in the Silver Belt of Nevada !,Carson City,4,4
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",26376,tt0032315,en,A hardened crook behind bars comes up against a reform-minded warden.,0.471208,/6CYMy5duemFRUDSLtV1FZHlsd55.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/17/40,0,77,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Castle on the Hudson,6.5,2
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}]",87621,tt0042324,en,"Matt Brennan runs into Jo Holloway, the Red Cross girl he romanced in Europe when he was a flyer in World War II, when he is offered a job by jet manufacturer Leland Willis as a test pilot. Carl Troxell, wants to sell an escape cockpit to the Air Force. He wants Matt to stall the presentation of JA-3 the prototype that doesn't include the ejection seat, to give him more time for the experimental JA-4. But Matt doesn't believe it is yet safe enough to try.",0.855721,/mwkoABwxiNu0sLL9nno56qajre8.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/18/50,0,94,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,There's a new Bogart thrill in the sky!,Chain Lightning,6,4
,19800000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",239678,tt1371150,en,"When their father passes away, four grown, world-weary siblings return to their childhood home and are requested -- with an admonition -- to stay there together for a week, along with their free-speaking mother and a collection of spouses, exes and might-have-beens. As the brothers and sisters re-examine their shared history and the status of each tattered relationship among those who know and love them best, they reconnect in hysterically funny and emotionally significant ways.",11.313659,/jMLRs4Vw2g7QzOQLiq3Rlh6qUar.jpg,"[{'name': 'Spring Creek Productions', 'id': 705}, {'name': '21 Laps Entertainment', 'id': 2575}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/10/14,41296320,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Welcome Home. Get Uncomfortable.,This Is Where I Leave You,6.5,512
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",15478,tt0071096,en,Queen Christina of Sweden (1626-1689) abdicates and travels to Rome to embrace the Catholic church.,0.567976,/cDpssbNpBud4RrLRDf7F3ftXFoe.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",10/3/74,0,103,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A woman with a profane love... for a man of God.,The Abdication,8,2
,58800000,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",190859,tt2179136,en,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",19.228561,/svPHnYE7N5NAGO49dBmRhq0vDQ3.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'RatPac-Dune Entertainment', 'id': 41624}, {'name': 'Mad Chance Productions', 'id': 57408}, {'name': '22 & Indiana Pictures', 'id': 57409}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/11/14,542307423,133,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The most lethal sniper in U.S. history.,American Sniper,7.4,4600
,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",26730,tt0083701,en,"If Bugs Bunny were to direct his signature inquiry--""What's up, doc?""--toward the modern-day Warner Bros. creative team, he wouldn't be far off. For 1001 Rabbit Tales, they've doctored up a batch of classic cartoons featuring the carrot muncher and his bumbling comrades and bundled them, near seamlessly, into a feature-length film. Here's the premise: Bugs and Daffy, both book salesmen, are competing to sell the most copies of a kids' book. Instead of burrowing a beeline to his sales territory (he should have made a left at Albuquerque), Bugs ends up in the castle of Yosemite Sam, here a harem-leading honcho. Sam's pain-in-the-spurs son, Prince Abalaba, needs somebody to read him stories; Bugs, who'd sooner take the job than suffer the alternative, that involving being boiled in oil, signs on.",2.894481,/eFYF7KVJQsh6tRi2oVsQXkj65s9.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/16/82,0,70,"[{'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,6.3,17
"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/uGhPxTrmT5yASzZrR1oz1ft9UWr.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",20000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",245891,tt2911666,en,Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect,183.870374,/5vHssUeVe25bMrof1HyaPyWgaP.jpg,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Warner Bros.', 'id': 6194}, {'name': '87Eleven', 'id': 23008}, {'name': 'DefyNite Films', 'id': 36259}, {'name': 'MJW Films', 'id': 36433}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/22/14,88761661,101,"[{'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Don't set him off.,John Wick,7,5499
,50000000,"[{'id': 18, 'name': 'Drama'}]",205587,tt1872194,en,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",17.887943,/v6s65U6qisvxWgO3cNnreaaaite.jpg,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Big Kid Pictures', 'id': 8406}, {'name': 'Team Downey', 'id': 27467}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/8/14,83719388,141,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Defend your Honor.,The Judge,7.2,1433
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",130747,tt2107814,de,"15-year-old Nina witnesses a terrible crime that puts her life in danger. Being an orphan, she has nobody she can trust. When corrupt businessman Thomas Backer sends five killers after Nina, witness protection officer, Max, a former special-forces soldier, is responsible for her safety. They soon overcome their initial distance to find common ground. While on the run from the ruthless Backer, Rudi, one of Max’s former comrades, comes to their rescue – and continues to help the two out of some precarious situations. Even Max’s ex-girlfriend Sara is not just there to help him as a federal prosecutor. Nevertheless, Nina and Max face ever-increasing danger, and soon the teenager is not the only one in need of a guardian angel – Max could use one too.",2.73072,/wXOMn3ihLBZCKr0lzvZzDMgro3S.jpg,"[{'name': 'barefoot films', 'id': 1989}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",9/18/12,0,133,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Guardians,5.6,43
,0,"[{'id': 878, 'name': 'Science Fiction'}]",42542,tt0076760,en,"Captain Rameses and his Legion of the Winged Serpent brigade are out to claim Earth for their dying race. Out to save Earth is an alien guard patrol located in the Bermuda Triangle, the League of Races. LOR leaders warn Rameses that he's breaking galactic treaty rules. The alien villain responds by launching an invasion which telepathically drives Earthlings to suicide. The LOR implore UFO expert Professor Duncan to help them. Eventually, the two alien forces battle. Will the Earth be saved?",0.790107,/9Q0lbq4L7V67AfePhTPRcK9LEz7.jpg,"[{'name': 'Hal Roach Studios', 'id': 2159}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",10/14/77,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,We know they are there - advanced beyond our imagination. Why have they come?,Starship Invasions,2.3,4
,0,"[{'id': 18, 'name': 'Drama'}]",101307,tt0069158,en,"An accidental nerve gas leak by the military kills not only a rancher's livestock, but also his son. When he tries to hold the military accountable for their actions, he runs up against a wall of silence.",0.632678,/rPB00HMvnFQI5pmMLcV04AC154r.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/22/72,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They called it an accident. He called it murder. It was their conspiracy. It was his son.,Rage,6.4,7
,0,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",55472,tt0042338,en,"Scott plays Steve Farrell, a Colt .45 salesman who has two of the prized guns stolen by Jason Brett (Zachary Scott). Armed with the guns, Brett begins a reign of terror, leading a gang of robbers and murderers.",0.098794,/7iR6hO4RUiJ5yYQcc7fG1RDlz1W.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/20/50,0,74,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The gun that became the law of the land !,Colt .45,3.8,2
,0,"[{'id': 35, 'name': 'Comedy'}]",106635,tt0029058,en,An infatuated debutante renews a Shakespearean actor's running feud with his leading lady.,1.328313,/w68Ql5a5EthX4fOJJWG3FzKgqBu.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/20/37,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The tops in topsy-turvy romance!,It's Love I'm After,7.5,3
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",59838,tt0056964,en,Bob Hope is a New York theater critic and his wife (Lucille Ball in their final motion picture pairing) writes a play that may or may not be very good. Now Hope must either get out of reviewing the play or cause the breakup of his marriage. Based on the Broadway play by Ira Levin.,0.149068,/6MmweaOU2EGQcwNCJuTC8V4p3Rf.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/13/63,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Everybody's 'choice' for a great big wonderful time!,Critic's Choice,4.7,3
,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",180427,tt0026385,en,"After a roustabout sailer avoids being shanghaied in 1852 San Francisco, his audacity helps him to arise to a position of power in the vice industry of the infamous Barbary Coast.",0.308882,/7A5DmqPjO7JeM8wrOn3bMY5QSgx.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Vitaphone Corporation', 'id': 9329}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/29/35,0,77,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's the Two-Fisted Hero of the Square Mile of Hell the Devil Himself disowned!,Frisco Kid,7.7,3
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}, {'id': 36, 'name': 'History'}]",195068,tt0027726,en,"Napoleon Bonaparte's younger brother, visiting the United States, falls madly in love with a young woman he meets in Baltimore.",1.224306,/xTi9nu5C5UvvLF6VxqVAbvcHVPy.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/20/36,0,76,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Hearts Divided,4,1
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",34623,tt0043153,en,"Aimless youth Rick Martin learns he has a gift for music and falls in love with the trumpet. Legendary trumpeter Art Hazzard takes Rick under his wing and teaches him all he knows about playing. To the exclusion of anything else in life, Rick becomes a star trumpeter, but his volatile personality and desire to play jazz rather than the restricted tunes of the bands he works for lands him in trouble.",0.872948,/qZVkmslAoZOatqzil690UjsrwuO.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/9/50,0,112,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Put down your trumpet, jazzman -- I'm in the mood for love!",Young Man with a Horn,4.8,8
,20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",171274,tt1791528,en,"In Los Angeles at the turn of the 1970s, drug-fueled detective Larry ""Doc"" Sportello investigates the disappearance of an ex-girlfriend.",13.52638,/2fCg6FORkgRLpFIKlUg4gULIn1u.jpg,"[{'name': 'Ghoulardi Film Company', 'id': 178}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'IAC Films', 'id': 93105}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/25/14,11110975,148,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Under the paving stones, the beach!",Inherent Vice,6.5,852
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",121020,tt0021992,en,Young free-thinkers turn conventionally jealous when they marry.,0.910714,/oW0VXRfiTQ7fn6Wg6cc78q4Wz4o.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Vitaphone Corporation', 'id': 9329}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/14/31,0,79,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Illicit,4.3,6
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",33001,tt0022236,en,"Railroad fireman Bill White is a carefree ladies' man with an irresponsible streak. His buddy Jack Kulper, an engineer, is more solid and reliable. Bill comes to stay a while with Jack and his wife Lily. Bill and Lily fall in love, but not wishing to hurt Jack, Bill leaves without explanation. When Jack confronts Bill about his suspicions, the two fight and Jack is seriously injured. Bill is consumed with guilt and tries to make good, but Jack has his own ideas about that.",0.730406,/ovE2l70lxD9wLxH2OV0hzXDwETo.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Vitaphone Corporation', 'id': 9329}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/17/31,0,71,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Romance of the Shining Rails,Other Men's Women,4.8,4
,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",114302,tt0023181,en,"While giving a private performance for a visiting monarch, concert pianist Montgomery Royale is deafened when a bomb is detonated in an attempt to assassinate the foreign ruler. With his career over as a result of his injury, Royale returns to New York City with his sister Florence, close friend Mildred Miller, and considerably younger fiancée Grace Blair.  After abandoning thoughts of suicide, Montgomery discovers he can lip read, and he spends his days observing people in Central Park from his apartment window. As he learns of people's problems, he tries to help them anonymously. He becomes absorbed in his game of ""playing God"" but his actions are without sincerity.",0.729945,/47axU1fbvkuEU0TOIOCTdU4lzQp.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/19/32,0,80,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,'A Modern Drama From Real Life',The Man Who Played God,7.9,4
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",265195,tt3011894,es,Six short stories that explore the extremities of human behavior involving people in distress.,8.764888,/8qc4aWkYJVXaWcypDusuudnME18.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",8/21/14,27007072,125,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,We can all lose control,Wild Tales,7.7,878
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",90978,tt0035020,en,"The trustees of Midwestern University have forced three teachers out of their jobs for being suspected communists. Trustee Ed Keller has also threatened mild mannered English Professor Tommy Turner, because he plans to read a controversial piece of prose in class. Tommy is upset that his wife Ellen also suggested he not read the passage. Meanwhile, Ellen's old boyfriend, the football player Joe Ferguson, comes to visit for the homecoming weekend. He takes Ellen out dancing after the football rally, causing Tommy to worry that he will lose her to Joe.",0.233226,/6YHCL2uJ1opi8hQbB4bL8Grh2pu.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/4/42,0,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Male Animal,1,1
,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",72638,tt0032467,en,"Although loudmouthed braggart Jerry Plunkett alienates his comrades and officers, Father Duffy, the regimental chaplain, has faith that he'll prove himself in the end.",1.128251,/o763enwmfIjnHhREElD6rbidngi.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/27/40,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Jammed With Action ! . . Loaded With Excitement ! . . . And Every Thrill-Packed Word Is True !,The Fighting 69th,5.9,8
,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",64928,tt0032643,en,"After crooked nightclub owner Chips Maguire murders a police informant, he blackmails his piano player to allow him to stay at his eccentric mother's boarding house.",0.274233,/chWyIvJuZSON39fB3hswnXDADRq.jpg,"[{'name': 'First National Pictures', 'id': 3245}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/6/40,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,HURRY! HERE'S A HIT!,It All Came True,6.5,1
,0,"[{'id': 35, 'name': 'Comedy'}]",202215,tt2330546,fr,"More than anything, 30-year-old Rose longs to be reunited with Mickaël, her estranged 11-year-old son who has been placed with a foster family and blames his mother for their long separation. When she discovers that Mickaël is crazy about wrestling, Rose thinks she's found a way to melt the ice: she'll put together a tag team with three girlfriends from the store where all four work as checkout girls...",1.486526,/7o65LbcRCGUuazzT9FbYKfZWDUV.jpg,"[{'name': 'La Petite Reine', 'id': 1992}, {'name': 'Warner Bros. France', 'id': 2913}, {'name': 'WWE Studios', 'id': 10339}, {'name': 'Karé Productions', 'id': 23577}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",7/2/13,0,97,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Queens of the Ring,5.6,17
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",289153,tt2978426,fr,"A romantic comedy about two Parisian therapists who are so obsessed about getting into the sack with anyone they meet, they can’t ever get it on with each other.",6.837575,/9cczeIyVGORXGHXRVUTnxezQmXK.jpg,"[{'name': 'Arena Films', 'id': 1243}, {'name': 'Warner Bros. France', 'id': 2913}, {'name': 'Tabo Tabo Films', 'id': 15614}, {'name': 'Cinéfrance 1888', 'id': 31229}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",10/1/14,0,0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,"Sex, Love & Therapy",4.9,107
,100000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",205775,tt1390411,en,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",11.696923,/zVmWh0Zfg4UhbvdGI8LQrn1lQZJ.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Spring Creek Productions', 'id': 705}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Roth Films', 'id': 16314}, {'name': 'K. JAM Media', 'id': 17888}, {'name': 'Cott Productions', 'id': 24175}, {'name': 'Surf Film', 'id': 34401}, {'name': 'Enelmar Productions, A.I.E.', 'id': 63571}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/20/15,93820758,122,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Based on the incredible true story that inspired Moby Dick,In the Heart of the Sea,6.5,1300
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",63484,tt1586753,ja,"Ten people gather together at a complex named “Ankikan” after hearing of a short term job paying 112,000 Yen ($1,236 USD) per hour. The ten people are informed that they will be monitored 24 hours a day for 7 days straight in a psychological experiment. They are then sent to individual rooms with a different weapon located in each room. Once they are locked in they learn the rules of the psychological experiment. 1.) Each person must return to their room by 10 PM. 2.) At the end of 7 days or when there are only two surviving members left alive the experiment will end. The next day a person is found shot to death. Now, what looked like a dream job will turn into a nightmare ...",1.277397,/ajO84qG3C6OAsuXOO9e5v9VzGmV.jpg,"[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",10/16/10,0,107,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,The Incite Mill,5.5,11
